Step,AgentID,FloodDepthEstimated,FloodDamageEstimated,FloodDepthActual,FloodDamageActual,IsAdapted,FriendsCount,location
0,0,0.0,0.0,0.0,0.0,False,6,POINT (238869.92983648315 3333467.60386458)
0,1,0.41928958892822266,0.49653882279845607,0.0,0.0,False,2,POINT (286520.3714225385 3288055.316585637)
0,2,0.2608184814453125,0.4136497195093012,0.0,0.0,False,4,POINT (230807.64888713215 3327374.4574540965)
0,3,0.0,0.0,0.0,0.0,False,3,POINT (307552.1373439684 3284202.026734051)
0,4,2.468661308288574,0.8060818336621428,0.0,0.0,False,4,POINT (293234.7189480299 3281435.2330838423)
0,5,0.2719078063964844,0.420919778874535,0.0,0.0,False,4,POINT (235464.3698241948 3339243.996721089)
0,6,0.25560760498046875,0.4101260791129736,0.0,0.0,False,2,POINT (235724.31727245342 3329647.8259010464)
0,7,3.2626452445983887,0.854771185621692,0.0,0.0,False,4,POINT (301560.4198971635 3273187.251376801)
0,8,0.0,0.0,0.0,0.0,False,5,POINT (219380.5077584908 3361519.807257559)
0,9,3.2198314666748047,0.8524648466553417,0.0,0.0,False,4,POINT (285659.01522896107 3273295.920449601)
0,10,0.19383621215820312,0.36182649154319474,0.0,0.0,False,4,POINT (258226.3682408403 3331312.1891048644)
0,11,0.3499412536621094,0.4649717485725222,0.0,0.0,False,3,POINT (300766.01842121436 3309594.339373895)
0,12,1.13079833984375,0.6697625092229019,0.0,0.0,False,5,POINT (236709.0208508134 3295718.662435524)
0,13,7.387845993041992,1.0,0.0,0.0,False,3,POINT (284962.288257388 3294722.828518549)
0,14,0.16006946563720703,0.32840706435528566,0.0,0.0,False,4,POINT (303913.21778157237 3280372.9883171115)
0,15,0.3452472686767578,0.4626138781318496,0.0,0.0,False,3,POINT (267197.43784623983 3322619.084438233)
0,16,1.5411186218261719,0.7238159894340408,0.0,0.0,False,3,POINT (251356.6730618939 3319215.3115454307)
0,17,1.5506248474121094,0.7248896827946415,0.0,0.0,False,5,POINT (267469.02584944403 3290378.7965660086)
0,18,0.0,0.0,0.0,0.0,False,3,POINT (214874.8295671901 3341115.2596491245)
0,19,0.5117645263671875,0.5313370891624816,0.0,0.0,False,4,POINT (220202.31274895254 3316220.551848238)
0,20,0.29769134521484375,0.4367375146115581,0.0,0.0,False,5,POINT (306141.78019297664 3302726.0796618555)
0,21,7.827242851257324,1.0,0.0,0.0,False,3,POINT (281079.99289659644 3324150.176558286)
